EclipseNumber,BJD,Error
-2509,2451582.783271,0.00064
0,2451822.76051,5e-05
10,2451823.71716,0.0001
291,2451850.59374,0.00011
292,2451850.689388,0.00012
585,2451878.71389,3e-05
1009,2451919.26773,0.0002
1010,2451919.36343,0.001
1011,2451919.45933,0.0001
1398,2451956.47453,0.0013
1399,2451956.57043,0.0011
1815,2451996.35933,0.0001
1825,2451997.31573,0.0001
5191,2452319.262572,0.00065
5191,2452319.310522,0.00082
5192,2452319.357932,0.00061
5192,2452319.406142,0.00088
5201,2452320.266772,0.00091
5205,2452320.601632,0.0007
12426,2453011.315459,0.0004
12427,2453011.363859,0.0001
12427,2453011.411259,0.0004
13053,2453071.28656,0.0003
13054,2453071.33416,0.0001
13054,2453071.38236,0.0004
13055,2453071.42986,0.0001
23616,2454081.600709,0.00018
23617,2454081.647639,0.00018
24085,2454126.41047,0.0011
24085,2454126.45877,0.0011
24086,2454126.50567,0.0011
24086,2454126.55407,0.0011
24087,2454126.60147,0.0024
27157,2454420.284374,0.00025
27157,2454420.236124,0.00015
27908,2454492.066885,0.00018
27908,2454492.114745,0.00022
27909,2454492.162535,0.00018
28173,2454517.412885,0.00034
28174,2454517.508985,0.00037
29480,2454642.423165,0.00027
29658,2454659.448715,0.00047
29919,2454684.411455,0.00024
29920,2454684.507265,0.00024
30244,2454715.497605,0.0002
30245,2454715.592425,0.00023
30276,2454718.556885,0.00041
30388,2454729.318185,0.00015
30389,2454729.365745,0.00015
30514,2454741.321655,8e-05
30514,2454741.369335,0.00011
30556,2454745.338785,0.0002
30716,2454760.643105,0.00032
30724,2454761.407255,0.00023
30921,2454780.249794,9e-05
30921,2454780.250224,0.00015
30922,2454780.344984,0.00034
31214,2454808.274114,0.00034
31215,2454808.369964,0.00031
31237,2454810.474574,0.0002
31238,2454810.570744,0.0003
31287,2454815.256574,0.0001
31288,2454815.352334,0.00014
31308,2454817.265164,0.00039
31309,2454817.361064,0.00039
31435,2454829.411755,0.00019
31527,2454838.211716,0.00012
31602,2454845.38518,0.00027
31602,2454845.38531,0.00018
32124,2454895.31268,0.00029
32124,2454895.31259,0.00032
32131,2454895.982345,6e-05
32131,2454896.029975,0.00044
32303,2454912.43363,0.00016
32448,2454926.302555,0.00015
32449,2454926.397935,0.00013
32605,2454941.319185,0.00031
32660,2454946.579464,0.00013
32696,2454950.022634,0.00011
32769,2454957.052454,0.0001
33484,2455025.392564,0.0004
33757,2455051.503943,0.00024
33778,2455053.512703,0.00016
33881,2455063.363893,3e-05
33946,2455069.581023,6.2e-05
33977,2455072.546051,6.2e-05
34164,2455090.431943,2e-05
34288,2455102.292162,2e-05
34541,2455126.49077,2e-05
34664,2455138.25524,4e-05
34798,2455151.11975,9e-05
