Cycle,BJD,Error
0,2454274.2088,0.0001
72,2454282.1559,0.0002
73,2454282.2661,0.0002
108,2454286.1291,0.0001
172,2454293.1932,0.0001
180,2454294.0762,0.0001
181,2454294.1866,0.0001
190,2454295.1799,0.0001
316,2454309.087,0.0001
317,2454309.1973,0.0001
325,2454310.0804,0.0001
362,2454314.1642,0.0001
380,2454316.1509,0.0001
397,2454318.0274,0.0001
406,2454319.0206,0.0001
407,2454319.1312,0.0001
443,2454323.1045,0.0001
452,2454324.0979,0.0001
832,2454366.0401,0.0001
1018,2454386.5693,0.0006
3737,2454686.6769,0.0005
4935,2454818.90501,5e-05
5972,2454933.36268,5e-05
5999,2454936.34294,8e-05
6226,2454961.39796,3e-05
6244,2454963.38463,7e-05
6288,2454968.24111,3e-05
6297,2454969.23445,8e-05
6451,2454986.232,4e-05
6524,2454994.28935,6e-05
6578,2455000.24974,5e-05
6770,2455021.44152,0.0001
6859,2455031.2647,0.0001
6888,2455034.46565,0.0001
6889,2455034.57601,0.0001
6914,2455037.33534,2e-05
7037,2455050.91137,2e-05
7060,2455053.45005,0.0001
7204,2455069.34387,3.6e-05
7223,2455071.440996,1.4e-05
7304,2455080.38128,7e-05
7322,2455082.368,2e-05
7386,2455089.432002,2.4e-05
7503,2455102.345843,1.8e-05
7519,2455104.11174,4e-05
7557,2455108.306027,4.1e-05
7645,2455118.01888,1e-05
7646,2455118.12921,2e-05
7899,2455146.0539,1e-05
7955,2455152.234856,1.8e-05
7962,2455153.0075,4e-05
8071,2455165.03824,2e-05
9261,2455296.38336,0.00011
9596,2455333.35878,4e-05
9605,2455334.35217,1e-05
9797,2455355.544034,3.5e-05
9959,2455373.42474,7e-05
10020,2455380.15742,2e-05
10131,2455392.4091,2e-05
10279,2455408.74442,2e-05
10287,2455409.62744,2e-05
10451,2455427.72877,1e-05
10536,2455437.11053,0.00013
10545,2455438.10395,7e-05
10593,2455443.401924,1e-05
10600,2455444.17447,2e-05
10608,2455445.05746,2e-05
10646,2455449.25176,5e-05
10647,2455449.36215,2e-05
10653,2455450.02436,5e-05
10673,2455452.23189,2e-05
10681,2455453.11482,2e-05
10918,2455479.273564,1.2e-05
11097,2455499.03051,2e-05
12763,2455682.914,2e-05
12799,2455686.88745,2e-05
12812,2455688.32227,4e-05
12848,2455692.29572,3e-05
12921,2455700.35324,0.00012
13077,2455717.57146,1e-05
13111,2455721.32418,0.00011
13256,2455737.32837,1e-05
13368,2455749.690361,6e-06
13377,2455750.683717,4e-06
13469,2455760.83818,3e-05
13470,2455760.94855,1e-05
13488,2455762.93532,2e-05
13511,2455765.47387,2e-05
13542,2455768.89549,4e-05
13629,2455778.498061,9e-06
13632,2455778.82915,1e-05
13673,2455783.35435,4e-05
13680,2455784.12698,8e-05
13682,2455784.34781,7e-05
13768,2455793.84006,1e-05
13791,2455796.37871,1e-05
13792,2455796.48924,1e-05
13807,2455798.14458,2e-05
13827,2455800.35217,2e-05
13828,2455800.46251,2e-05
13845,2455802.33887,5e-05
13846,2455802.4492,4e-05
13872,2455805.31896,2e-05
13873,2455805.42932,2e-05
13899,2455808.29907,2e-05
14062,2455826.29008,2e-05
14089,2455829.27017,2e-05
14162,2455837.327516,1.6e-05
14379,2455861.27873,2e-05
14397,2455863.26542,3e-05
14400,2455863.59656,1e-05
14406,2455864.25879,3e-05
14477,2455872.09538,2e-05
14540,2455879.04895,1e-05
14576,2455883.02224,6e-05
16024,2456042.844216,4e-06
16065,2456047.36959,1e-05
16264,2456069.33405,4e-05
16350,2456078.82624,8e-06
16609,2456107.413167,1e-05
16808,2456129.377577,1.5e-05
16817,2456130.370981,6e-06
16835,2456132.357723,1.7e-05
16844,2456133.351109,1e-05
17019,2456152.666554,6e-06
17123,2456164.14541,3e-05
17261,2456179.377131,1e-05
17621,2456219.11183,2e-05
17650,2456222.312685,2e-05
17756,2456234.01231,3e-05
17867,2456246.263846,2.1e-05
17892,2456249.02323,4e-05
19019,2456373.41486,0.00013
19301,2456404.54032,2.4e-05
19545,2456431.471682,1.9e-05
19625,2456440.30158,7e-05
19744,2456453.436075,4e-05
19770,2456456.30576,3e-05
20008,2456482.574878,1e-05
20206,2456504.428991,1.5e-05
20269,2456511.382498,1.4e-05
20294,2456514.14177,1e-05
20360,2456521.426538,1.3e-05
20432,2456529.373489,1e-05
20466,2456533.12611,3e-05
20683,2456557.07731,3e-05
20803,2456570.322299,9.8e-05
20812,2456571.315608,2.5e-05
20813,2456571.425973,4.6e-05
20830,2456573.302321,1.4e-05
20975,2456589.306568,1.6e-05
21192,2456613.257809,1e-05
22507,2456758.39958,1e-05
23094,2456823.18914,3e-05
23106,2456824.513711,1e-05
23458,2456863.365367,3.3e-05
23467,2456864.358634,3.2e-05
23577,2456876.499861,1e-05
23864,2456908.17717,6e-05
24334,2456960.05296,1e-05
24352,2456962.03971,9e-05
24388,2456966.01314,3e-05
24451,2456972.9667,1e-05
24460,2456973.96007,1e-05
24553,2456984.224844,1.7e-05
26132,2457158.505405,1.2e-05
26141,2457159.498659,3e-05
26205,2457166.562708,1.2e-05
26213,2457167.445649,2.1e-05
26331,2457180.469794,2.6e-05
26413,2457189.520546,2e-05
26422,2457190.513847,1e-05
26648,2457215.458344,1.2e-05
26683,2457219.32142,1.2e-05
26684,2457219.431837,1.3e-05
26685,2457219.542209,1e-05
26730,2457224.509018,1.4e-05
26783,2457230.358889,1e-05
26846,2457237.312397,1.7e-05
26911,2457244.486749,1.2e-05
27009,2457255.303376,1.5e-05
27073,2457262.367301,1.6e-05
27082,2457263.360683,3.4e-05
27099,2457265.23701,2e-05
27154,2457271.307578,3.1e-05
27215,2457278.04048,3e-05
27390,2457297.355838,1e-05
27408,2457299.34258,2.8e-05
27543,2457314.24309,1e-05
28004,2457365.125453,2.2e-05
29412,2457520.532048,1.5e-05
29611,2457542.496481,1.2e-05
29620,2457543.489845,1.4e-05
29647,2457546.469948,3.9e-05
29956,2457580.575537,1.3e-05
30135,2457600.332481,1.4e-05
30163,2457603.422952,1.2e-05
30172,2457604.416311,1.1e-05
30180,2457605.299328,1.3e-05
30280,2457616.336669,1e-05
30397,2457629.250499,9e-06
30399,2457629.471256,2e-05
30408,2457630.464585,6e-06
30543,2457645.365088,1e-05
30660,2457658.278862,8e-06
30669,2457659.272248,8e-06
30670,2457659.382587,9e-06
30705,2457663.245692,8e-06
30714,2457664.239053,1e-05
30904,2457685.210139,1.2e-05
30931,2457688.1902,1.5e-05
30941,2457689.293987,2.7e-05
31004,2457696.247504,9e-06
33027,2457919.53427,7e-05
33157,2457933.88289,1e-05
33680,2457991.60849,1e-05
33830,2458008.16467,2e-05
33857,2458011.14475,2e-05
33933,2458019.53317,1e-05
33934,2458019.64351,1e-05
34157,2458044.256934,1e-05
36364,2458287.85272,2e-05
36372,2458288.7357,2e-05
36550,2458308.382288,8.7e-05
36551,2458308.492759,8.4e-05
36813,2458337.410692,6.2e-05
36823,2458338.514435,7.6e-05
